from_id,to_id,dist_km,from_depto,from_mpio,from_depto_id,to_depto,to_mpio,to_depto_id
17 - MANIZALES,50 - VILLAVICENCIO,NA,17,MANIZALES,17,50,VILLAVICENCIO,50
18 - FLORENCIA,50 - VILLAVICENCIO,NA,18,FLORENCIA,18,50,VILLAVICENCIO,50
19 - POPAYÁN,50 - VILLAVICENCIO,NA,19,POPAYÁN,19,50,VILLAVICENCIO,50
20 - ASTREA,50 - VILLAVICENCIO,NA,20,ASTREA,20,50,VILLAVICENCIO,50
23 - MONTERÍA,50 - VILLAVICENCIO,NA,23,MONTERÍA,23,50,VILLAVICENCIO,50
25 - ALBÁN,50 - VILLAVICENCIO,NA,25,ALBÁN,25,50,VILLAVICENCIO,50
27 - RIOSUCIO,50 - VILLAVICENCIO,NA,27,RIOSUCIO,27,50,VILLAVICENCIO,50
41 - NEIVA,50 - VILLAVICENCIO,NA,41,NEIVA,41,50,VILLAVICENCIO,50
44 - BARRANCAS,50 - VILLAVICENCIO,NA,44,BARRANCAS,44,50,VILLAVICENCIO,50
47 - PEDRAZA,50 - VILLAVICENCIO,NA,47,PEDRAZA,47,50,VILLAVICENCIO,50
05 - MEDELLÍN,52 - SANDONÁ,NA,05,MEDELLÍN,05,52,SANDONÁ,52
08 - BARRANQUILLA,52 - SANDONÁ,NA,08,BARRANQUILLA,08,52,SANDONÁ,52
"11 - BOGOTÁ, D.C.",52 - SANDONÁ,NA,11,"BOGOTÁ, D.C.",11,52,SANDONÁ,52
13 - CARTAGENA DE INDIAS,52 - SANDONÁ,NA,13,CARTAGENA DE INDIAS,13,52,SANDONÁ,52
15 - TUNJA,52 - SANDONÁ,NA,15,TUNJA,15,52,SANDONÁ,52
17 - MANIZALES,52 - SANDONÁ,NA,17,MANIZALES,17,52,SANDONÁ,52
18 - FLORENCIA,52 - SANDONÁ,NA,18,FLORENCIA,18,52,SANDONÁ,52
19 - POPAYÁN,52 - SANDONÁ,NA,19,POPAYÁN,19,52,SANDONÁ,52
20 - ASTREA,52 - SANDONÁ,NA,20,ASTREA,20,52,SANDONÁ,52
23 - MONTERÍA,52 - SANDONÁ,NA,23,MONTERÍA,23,52,SANDONÁ,52
25 - ALBÁN,52 - SANDONÁ,NA,25,ALBÁN,25,52,SANDONÁ,52
27 - RIOSUCIO,52 - SANDONÁ,NA,27,RIOSUCIO,27,52,SANDONÁ,52
41 - NEIVA,52 - SANDONÁ,NA,41,NEIVA,41,52,SANDONÁ,52
44 - BARRANCAS,52 - SANDONÁ,NA,44,BARRANCAS,44,52,SANDONÁ,52
47 - PEDRAZA,52 - SANDONÁ,NA,47,PEDRAZA,47,52,SANDONÁ,52
50 - VILLAVICENCIO,52 - SANDONÁ,NA,50,VILLAVICENCIO,50,52,SANDONÁ,52
05 - MEDELLÍN,54 - SAN JOSÉ DE CÚCUTA,NA,05,MEDELLÍN,05,54,SAN JOSÉ DE CÚCUTA,54
08 - BARRANQUILLA,54 - SAN JOSÉ DE CÚCUTA,NA,08,BARRANQUILLA,08,54,SAN JOSÉ DE CÚCUTA,54
"11 - BOGOTÁ, D.C.",54 - SAN JOSÉ DE CÚCUTA,NA,11,"BOGOTÁ, D.C.",11,54,SAN JOSÉ DE CÚCUTA,54
13 - CARTAGENA DE INDIAS,54 - SAN JOSÉ DE CÚCUTA,NA,13,CARTAGENA DE INDIAS,13,54,SAN JOSÉ DE CÚCUTA,54
15 - TUNJA,54 - SAN JOSÉ DE CÚCUTA,NA,15,TUNJA,15,54,SAN JOSÉ DE CÚCUTA,54
17 - MANIZALES,54 - SAN JOSÉ DE CÚCUTA,NA,17,MANIZALES,17,54,SAN JOSÉ DE CÚCUTA,54
18 - FLORENCIA,54 - SAN JOSÉ DE CÚCUTA,NA,18,FLORENCIA,18,54,SAN JOSÉ DE CÚCUTA,54
19 - POPAYÁN,54 - SAN JOSÉ DE CÚCUTA,NA,19,POPAYÁN,19,54,SAN JOSÉ DE CÚCUTA,54
20 - ASTREA,54 - SAN JOSÉ DE CÚCUTA,NA,20,ASTREA,20,54,SAN JOSÉ DE CÚCUTA,54
23 - MONTERÍA,54 - SAN JOSÉ DE CÚCUTA,NA,23,MONTERÍA,23,54,SAN JOSÉ DE CÚCUTA,54
25 - ALBÁN,54 - SAN JOSÉ DE CÚCUTA,NA,25,ALBÁN,25,54,SAN JOSÉ DE CÚCUTA,54
27 - RIOSUCIO,54 - SAN JOSÉ DE CÚCUTA,NA,27,RIOSUCIO,27,54,SAN JOSÉ DE CÚCUTA,54
41 - NEIVA,54 - SAN JOSÉ DE CÚCUTA,NA,41,NEIVA,41,54,SAN JOSÉ DE CÚCUTA,54
44 - BARRANCAS,54 - SAN JOSÉ DE CÚCUTA,NA,44,BARRANCAS,44,54,SAN JOSÉ DE CÚCUTA,54
47 - PEDRAZA,54 - SAN JOSÉ DE CÚCUTA,NA,47,PEDRAZA,47,54,SAN JOSÉ DE CÚCUTA,54
50 - VILLAVICENCIO,54 - SAN JOSÉ DE CÚCUTA,NA,50,VILLAVICENCIO,50,54,SAN JOSÉ DE CÚCUTA,54
52 - SANDONÁ,54 - SAN JOSÉ DE CÚCUTA,NA,52,SANDONÁ,52,54,SAN JOSÉ DE CÚCUTA,54
05 - MEDELLÍN,63 - ARMENIA,NA,05,MEDELLÍN,05,63,ARMENIA,63
08 - BARRANQUILLA,63 - ARMENIA,NA,08,BARRANQUILLA,08,63,ARMENIA,63
"11 - BOGOTÁ, D.C.",63 - ARMENIA,NA,11,"BOGOTÁ, D.C.",11,63,ARMENIA,63
13 - CARTAGENA DE INDIAS,63 - ARMENIA,NA,13,CARTAGENA DE INDIAS,13,63,ARMENIA,63
15 - TUNJA,63 - ARMENIA,NA,15,TUNJA,15,63,ARMENIA,63
17 - MANIZALES,63 - ARMENIA,NA,17,MANIZALES,17,63,ARMENIA,63
18 - FLORENCIA,63 - ARMENIA,NA,18,FLORENCIA,18,63,ARMENIA,63
19 - POPAYÁN,63 - ARMENIA,NA,19,POPAYÁN,19,63,ARMENIA,63
20 - ASTREA,63 - ARMENIA,NA,20,ASTREA,20,63,ARMENIA,63
23 - MONTERÍA,63 - ARMENIA,NA,23,MONTERÍA,23,63,ARMENIA,63
25 - ALBÁN,63 - ARMENIA,NA,25,ALBÁN,25,63,ARMENIA,63
27 - RIOSUCIO,63 - ARMENIA,NA,27,RIOSUCIO,27,63,ARMENIA,63
41 - NEIVA,63 - ARMENIA,NA,41,NEIVA,41,63,ARMENIA,63
44 - BARRANCAS,63 - ARMENIA,NA,44,BARRANCAS,44,63,ARMENIA,63
47 - PEDRAZA,63 - ARMENIA,NA,47,PEDRAZA,47,63,ARMENIA,63
50 - VILLAVICENCIO,63 - ARMENIA,NA,50,VILLAVICENCIO,50,63,ARMENIA,63
52 - SANDONÁ,63 - ARMENIA,NA,52,SANDONÁ,52,63,ARMENIA,63
54 - SAN JOSÉ DE CÚCUTA,63 - ARMENIA,NA,54,SAN JOSÉ DE CÚCUTA,54,63,ARMENIA,63
05 - MEDELLÍN,66 - PEREIRA,NA,05,MEDELLÍN,05,66,PEREIRA,66
08 - BARRANQUILLA,66 - PEREIRA,NA,08,BARRANQUILLA,08,66,PEREIRA,66
"11 - BOGOTÁ, D.C.",66 - PEREIRA,NA,11,"BOGOTÁ, D.C.",11,66,PEREIRA,66
13 - CARTAGENA DE INDIAS,66 - PEREIRA,NA,13,CARTAGENA DE INDIAS,13,66,PEREIRA,66
15 - TUNJA,66 - PEREIRA,NA,15,TUNJA,15,66,PEREIRA,66
17 - MANIZALES,66 - PEREIRA,NA,17,MANIZALES,17,66,PEREIRA,66
18 - FLORENCIA,66 - PEREIRA,NA,18,FLORENCIA,18,66,PEREIRA,66
