from_id,to_id,dist_km,dur_min
19 - POPAYÁN,94 - INÍRIDA,NA,NA
20 - VALLEDUPAR,94 - INÍRIDA,NA,NA
23 - MONTERÍA,94 - INÍRIDA,NA,NA
27 - QUIBDÓ,94 - INÍRIDA,NA,NA
41 - NEIVA,94 - INÍRIDA,NA,NA
44 - RIOHACHA,94 - INÍRIDA,NA,NA
47 - SANTA MARTA,94 - INÍRIDA,NA,NA
50 - VILLAVICENCIO,94 - INÍRIDA,NA,NA
52 - PASTO,94 - INÍRIDA,NA,NA
54 - SAN JOSÉ DE CÚCUTA,94 - INÍRIDA,NA,NA
63 - ARMENIA,94 - INÍRIDA,NA,NA
66 - PEREIRA,94 - INÍRIDA,NA,NA
68 - BUCARAMANGA,94 - INÍRIDA,NA,NA
70 - SINCELEJO,94 - INÍRIDA,NA,NA
73 - IBAGUÉ,94 - INÍRIDA,NA,NA
76 - CALI,94 - INÍRIDA,NA,NA
81 - ARAUCA,94 - INÍRIDA,NA,NA
85 - YOPAL,94 - INÍRIDA,NA,NA
86 - MOCOA,94 - INÍRIDA,NA,NA
88 - SAN ANDRÉS,94 - INÍRIDA,NA,NA
91 - LETICIA,94 - INÍRIDA,NA,NA
05 - MEDELLÍN,95 - SAN JOSÉ DEL GUAVIARE,NA,NA
08 - BARRANQUILLA,95 - SAN JOSÉ DEL GUAVIARE,NA,NA
"11 - BOGOTÁ, D.C.",95 - SAN JOSÉ DEL GUAVIARE,NA,NA
13 - CARTAGENA DE INDIAS,95 - SAN JOSÉ DEL GUAVIARE,NA,NA
15 - TUNJA,95 - SAN JOSÉ DEL GUAVIARE,NA,NA
17 - MANIZALES,95 - SAN JOSÉ DEL GUAVIARE,NA,NA
18 - FLORENCIA,95 - SAN JOSÉ DEL GUAVIARE,NA,NA
19 - POPAYÁN,95 - SAN JOSÉ DEL GUAVIARE,NA,NA
20 - VALLEDUPAR,95 - SAN JOSÉ DEL GUAVIARE,NA,NA
23 - MONTERÍA,95 - SAN JOSÉ DEL GUAVIARE,NA,NA
27 - QUIBDÓ,95 - SAN JOSÉ DEL GUAVIARE,NA,NA
41 - NEIVA,95 - SAN JOSÉ DEL GUAVIARE,NA,NA
44 - RIOHACHA,95 - SAN JOSÉ DEL GUAVIARE,NA,NA
47 - SANTA MARTA,95 - SAN JOSÉ DEL GUAVIARE,NA,NA
50 - VILLAVICENCIO,95 - SAN JOSÉ DEL GUAVIARE,NA,NA
52 - PASTO,95 - SAN JOSÉ DEL GUAVIARE,NA,NA
54 - SAN JOSÉ DE CÚCUTA,95 - SAN JOSÉ DEL GUAVIARE,NA,NA
63 - ARMENIA,95 - SAN JOSÉ DEL GUAVIARE,NA,NA
