"ano";"COD_DANE_DPTO_D";"DEPARTAMENTO_D";"COD_DANE_MUNIC_D";"MUNICIPIO_D";"quinquenio";"clase";"sexo";"poblacion"
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"25-29";"Centros Poblados y Rural Disperso";"mujeres";96
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"30-34";"Cabecera Municipal";"hombres";718
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"30-34";"Cabecera Municipal";"mujeres";790
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"30-34";"Centros Poblados y Rural Disperso";"hombres";75
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"30-34";"Centros Poblados y Rural Disperso";"mujeres";76
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"35-39";"Cabecera Municipal";"hombres";531
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"35-39";"Cabecera Municipal";"mujeres";644
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"35-39";"Centros Poblados y Rural Disperso";"hombres";60
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"35-39";"Centros Poblados y Rural Disperso";"mujeres";58
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"40-44";"Cabecera Municipal";"hombres";415
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"40-44";"Cabecera Municipal";"mujeres";509
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"40-44";"Centros Poblados y Rural Disperso";"hombres";51
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"40-44";"Centros Poblados y Rural Disperso";"mujeres";46
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"45-49";"Cabecera Municipal";"hombres";353
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"45-49";"Cabecera Municipal";"mujeres";408
